Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Date
Animal,Other Animal,Fox,HOLLAND PARK WEST,2018-05-01
Animal,Dog,Fencing Issues,SANDGATE,2018-05-01
Animal,Dog,Fencing Issues,CALAMVALE,2018-05-01
Animal,Attack,Menacing,BOWEN HILLS,2018-05-01
Animal,Dog,Fencing Issues,KARANA DOWNS,2018-05-01
Animal,Dog,Fencing Issues,NORMAN PARK,2018-05-01
Animal,Other Animal,Unregistered,PULLENVALE,2018-05-01
Animal,Attack,Attack On An Animal,PULLENVALE,2018-05-01
Animal,Other Animal,Fox,HERSTON,2018-05-01
Animal,Attack,Not An Attack,COORPAROO,2018-05-01
Animal,Cat,,EIGHT MILE PLAINS,2018-05-01
Animal,Other Animal,Unregistered,SUNNYBANK,2018-05-01
Animal,Other Animal,Too Many Animals,CHERMSIDE,2018-05-01
Animal,Cat Trapping,,INALA,2018-05-01
Animal,Attack,Menacing,MOUNT GRAVATT,2018-05-01
Animal,Attack,Attack On A Person,TAIGUM,2018-05-01
Animal,Dog,Fencing Issues,CALAMVALE,2018-05-01
Animal,Dog,Defecating In Public,BULIMBA,2018-05-01
Animal,Cat,,MANLY WEST,2018-05-01
Animal,Cat Trapping,,BELMONT,2018-05-01
Animal,Cat Trapping,,MANLY WEST,2018-05-01
Animal,Cat,,GRACEVILLE,2018-05-01
Animal,Attack,Attack On A Person,ASPLEY,2018-05-01
Animal,Dog,,SALISBURY,2018-05-01
Animal,Attack,Attack On A Person,ROCKLEA,2018-05-01
Animal,Cat Trapping,,COOPERS PLAINS,2018-05-01
Animal,Cat Trapping,,EVERTON PARK,2018-05-01
Animal,Attack,Attack On An Animal,GUMDALE,2018-05-01
Animal,Cat Trapping,,EIGHT MILE PLAINS,2018-05-01
Animal,Dog,Fencing Issues,MANLY WEST,2018-05-01
Animal,Attack,Attack On An Animal,EAST BRISBANE,2018-05-01
Animal,Dog,Fencing Issues,CHERMSIDE WEST,2018-05-01
Animal,Cat,,BRIGHTON,2018-05-01
Animal,Dog,Fencing Issues,ZILLMERE,2018-05-01
Animal,Dog,Fencing Issues,FOREST LAKE,2018-05-01
Animal,Dog,Unregistered,ASHGROVE,2018-05-01
Animal,Other Animal,Nuisance Animal,FOREST LAKE,2018-05-01
Animal,Cat Trapping,,TOOWONG,2018-05-01
Animal,Attack,Attack On An Animal,PARKINSON,2018-05-01
Animal,Dog,Fencing Issues,KENMORE,2018-05-01
Animal,Dog,,INALA,2018-05-01
Animal,Dog,Defecating In Public,ASHGROVE,2018-05-01
Animal,Attack,Not An Attack,DURACK,2018-05-01
Animal,Other Animal,Fox,WAKERLEY,2018-05-01
Animal,Dog,Too Many Animals,ZILLMERE,2018-05-01
Animal,Dog,,MORNINGSIDE,2018-05-01
Animal,Dog,Fencing Issues,ASPLEY,2018-05-01
Animal,Attack,Attack On A Person,SUNNYBANK,2018-05-01
Animal,Other Animal,Fox,KENMORE,2018-05-01
